Doc_Number,Priority,Review_Status,Document_Type,Category,Appendix_Number,Filename,Subfolder,File_Type,Size_MB,Modified_Date,Closeout_Requirements_Found,Notes,Follow_Up_Required,Reviewer,Review_Date,Full_Path
865,CRITICAL,Reviewed,Change Orders,1 - Change Orders,CO 166,C9015 CO 166 Multiple Issue Reso No. 5-2024 - signed.pdf,166_Landscape Modifications (Executed),.PDF,8.24,2024-10-14,,Manually reviewed for closeout requirements.,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 151-175/166_Landscape Modifications (Executed)/Executed CO (Final Docs)/C9015 CO 166 Multiple Issue Reso No. 5-2024 - signed.pdf
866,CRITICAL,Reviewed,Change Orders,1 - Change Orders,CO 167,C9015 CO 167 UL Luminance Test Scenarios - signed.pdf,167_Underlid Luminance Test Sce (Executed),.PDF,0.26,2024-07-01,,Manually reviewed for closeout requirements.,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 151-175/167_Underlid Luminance Test Sce (Executed)/Executed CO (Final Docs)/C9015 CO 167 UL Luminance Test Scenarios - signed.pdf
867,CRITICAL,Reviewed,Change Orders,1 - Change Orders,CO 168,C9015 CO 168 SDOT Cabinet - signed.pdf,168_SDOT Cabinet (Executed),.PDF,0.27,2024-07-01,,Manually reviewed for closeout requirements.,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 151-175/168_SDOT Cabinet (Executed)/Executed CO (Final Docs)/C9015 CO 168 SDOT Cabinet - signed.pdf
868,CRITICAL,Reviewed,Change Orders,1 - Change Orders,CO 169,C9015 CO 169 Multiple Issue Reso No. 5-2024 - signed.pdf,169_Multiple Issue Reso No. 5-2024 (Executed),.PDF,4.41,2024-09-03,,Manually reviewed for closeout requirements.,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 151-175/169_Multiple Issue Reso No. 5-2024 (Executed)/Executed CO (Final Docs)/C9015 CO 169 Multiple Issue Reso No. 5-2024 - signed.pdf
869,CRITICAL,Reviewed,Change Orders,1 - Change Orders,CO 170,C9015 CO 170 Multiple Issue Reso 6-2024 - signed.pdf,170_Multiple Issue Reso No. 6-2024 (Executed),.PDF,0.28,2024-08-12,,Manually reviewed for closeout requirements.,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 151-175/170_Multiple Issue Reso No. 6-2024 (Executed)/Executed CO (Final Docs)/C9015 CO 170 Multiple Issue Reso 6-2024 - signed.pdf
870,CRITICAL,Reviewed,Change Orders,1 - Change Orders,CO 171,C9015 CO 171 Multiple Issue Reso No. 7-2024 - signed.pdf,171_Multiple Issue Reso No. 7-2024,.PDF,0.26,2024-07-22,,Manually reviewed for closeout requirements.,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 151-175/171_Multiple Issue Reso No. 7-2024/Executed CO (Final Docs)/C9015 CO 171 Multiple Issue Reso No. 7-2024 - signed.pdf
871,CRITICAL,Reviewed,Change Orders,1 - Change Orders,CO 172,C9015 CO 172 WABS ATM VMS Extended Warranty - signed.pdf,172_WABS ATM VMS Extended Warranty (Executed),.PDF,0.27,2024-07-22,,Manually reviewed for closeout requirements.,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 151-175/172_WABS ATM VMS Extended Warranty (Executed)/Executed CO (Final Docs)/C9015 CO 172 WABS ATM VMS Extended Warranty - signed.pdf
872,CRITICAL,Reviewed,Change Orders,1 - Change Orders,CO 173,C9015 CO 173 Elec Signs Anti-Graffiti - signed.pdf,173_Elec Signs Anti-Graffiti Executed),.PDF,0.27,2024-08-05,,Manually reviewed for closeout requirements.,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 151-175/173_Elec Signs Anti-Graffiti Executed)/Executed CO (Final Docs)/C9015 CO 173 Elec Signs Anti-Graffiti - signed.pdf
873,CRITICAL,Reviewed,Change Orders,1 - Change Orders,CO 174,C9015 CO 174 Transit Canopy Paint - signed.pdf,174_Transit Canopy Paint (Executed),.PDF,0.27,2024-07-22,,Manually reviewed for closeout requirements.,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 151-175/174_Transit Canopy Paint (Executed)/Executed CO (Final Docs)/C9015 CO 174 Transit Canopy Paint - signed.pdf
874,CRITICAL,Reviewed,Change Orders,1 - Change Orders,CO 175,C9015 CO 175 Topsoil Gradation - signed.pdf,175_Topsoil Gradation (Executed),.PDF,1.16,2024-08-12,,Manually reviewed for closeout requirements.,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 151-175/175_Topsoil Gradation (Executed)/Executed CO (Final Docs)/C9015 CO 175 Topsoil Gradation - signed.pdf
