Req ID,Source,Section,Subsection,Subsection Title,Specification,Simple Description,Relation To,Milestone,Timing/Deadline,Category,Deliverable Type,Responsibility,Notes,Due Date,Status,Status Notes,Location,WSDOT Lead,Column1
001-001,General Provisions (RFP Chapter 1),1-04 Scope of the Work,1-04.11,Final Cleanup,"The Design-Builder shall perform final cleanup as provided in this Section to WSDOT's satisfaction. WSDOT will not establish the Physical Completion Date until this is done. The highway Right-of-Way, material sites, and all ground the Design-Builder occupied to do the Work shall be left neat and presentable. The Design-Builder shall: 1. Remove all rubbish, surplus materials, discarded materials, falsework, camp buildings, temporary structures, equipment, and debris. 2. Deposit in embankments, or remove from the Project, all unneeded, oversized rock left from grading, surfacing, or paving.",Complete final cleanup of all work areas,Prior to,Physical Completion,Prior to Physical Completion,Physical Work,Construction Activities,Design-Builder,"Requirement to establish Physical Completion milestone; includes removal of all rubbish, surplus materials, equipment, and debris; ROW and material sites must be left neat and presentable",,In Progress,,,JV,
001-002,General Provisions (RFP Chapter 1),1-05 Control of Work,1-05.6,Inspection of Work and Materials,"The oversight, spot checks, audits, tests, acceptances, and approvals conducted by WSDOT and others do not constitute acceptance of the materials or Work. WSDOT may request remedies for Nonconforming Work and/or identify additional Work which must be done to bring the Project into compliance with Contract requirements at any time prior to Final Acceptance, whether or not previous oversight, spot checks, audits, tests, acceptances, or approvals were conducted by WSDOT or any such Persons. The Design-Builder shall not be relieved of obligations to perform the Work in accordance with the Contract Documents, or any of its warranty obligations, by oversight, spot checks, audits, reviews, tests, inspections, acceptances, or approvals performed by any Persons, or by any failure of any Person to take such action.",Remedy Nonconforming Work and bring Project into compliance with Contract requirements when identified by WSDOT,Prior to,Final Acceptance,Prior to Final Acceptance,Quality & Compliance,Construction Activities,Design-Builder,Ongoing obligation to correct nonconforming work; WSDOT may identify issues at any time prior to Final Acceptance regardless of prior inspections or approvals; Design-Builder retains warranty obligations,,Not Started,,,JV,
001-003,General Provisions (RFP Chapter 1),1-05 Control of Work,1-05.11,Final Inspection,"WSDOT will not make the final inspection until the physical Work required by the Contract, including Final Cleanup and all extra Work ordered by WSDOT, has been completed. The Physical Completion Date for the Contract will be determined as provided in Section 1-08.5.",Complete all physical Work required by Contract including Final Cleanup and all extra Work ordered by WSDOT,To achieve,Physical Completion,To achieve Physical Completion,Physical Work,Construction Activities,Design-Builder,Prerequisites for WSDOT to conduct final inspection and establish Physical Completion Date; see Section 1-08.5 for determination of Physical Completion Date; includes Final Cleanup per contract requirements,,In Progress,,,JV,
001-004,General Provisions (RFP Chapter 1),1-05 Control of Work,1-05.12,Final Acceptance,The Design-Builder must perform all the obligations under the Contract before Completion and Final Acceptance can occur. Failure of the Design-Builder to perform all the obligations under the Contract shall not bar WSDOT from unilaterally accepting the Contract as provided in Section 1-09.9(2).,Perform all obligations under the Contract,Before,Completion,Before Completion,Administrative & Financial,Construction Activities,Design-Builder,Part of multi-milestone requirement; see also 001-005 for Final Acceptance; all contractual obligations must be performed before milestone can occur; see Section 1-09.9(2) for unilateral acceptance provisions,,Not Started,,,JV,
001-005,General Provisions (RFP Chapter 1),1-05 Control of Work,1-05.12,Final Acceptance,The Design-Builder must perform all the obligations under the Contract before Completion and Final Acceptance can occur. Failure of the Design-Builder to perform all the obligations under the Contract shall not bar WSDOT from unilaterally accepting the Contract as provided in Section 1-09.9(2).,Perform all obligations under the Contract,Before,Final Acceptance,Before Final Acceptance,Administrative & Financial,Construction Activities,Design-Builder,Part of multi-milestone requirement; see also 001-004 for Completion; all contractual obligations must be performed before milestone can occur; see Section 1-09.9(2) for unilateral acceptance provisions,,Not Started,,,JV,
001-006,General Provisions (RFP Chapter 1),1-05 Control of Work,1-05.16(2),General Warranty – Time of General Warranty,"The general Warranty shall commence on the day of Physical Completion. The general Warranty shall remain in effect until one year after Physical Completion. At any time during the general Warranty period, if WSDOT determines that any of the Work has not met the standards set forth in the Contract, then the Design-Builder shall correct the Work in accordance with this Section, even if the performance of such correction extends beyond the stated general Warranty period. Within seven Calendar Days of receipt of notice from WSDOT, specifying a failure of any Work required satisfying the general Warranty; or specifying a failure of any Subcontractor representation, Warranty, guarantee, or obligation, which the Design-Builder is responsible for enforcing, the Design-Builder and WSDOT shall mutually agree when and how the Design-Builder shall remedy such failure.",Correct defective Work identified during one-year warranty period after Physical Completion,During,Handover,During one-year warranty period,Quality & Compliance,Construction Activities,Design-Builder,One-year warranty period commences on day of Physical Completion; Design-Builder must correct work not meeting contract standards during warranty period; remedy must be agreed upon within 7 calendar days of notice; correction may extend beyond warranty period if necessary; found via handover keyword: warranty,,In Progress,,,JV,
001-007,General Provisions (RFP Chapter 1),1-05 Control of Work,1-05.16(3),General Warranty – Subcontractor Warranties,"Without in any way derogating the Design-Builder's own representations, warranties, and other obligations with respect to the Work, the Design-Builder shall obtain from all Subcontractors and cause to be extended to WSDOT, appropriate representations, Warranties, guarantees, and obligations with respect to design, material, plants, workmanship, equipment, tools, and supplies furnished by all Subcontractors. All representations, Warranties, guarantees, and obligations of Subcontractors shall be in writing, and shall run directly to and be enforceable by the Design-Builder and/or WSDOT and their respective successors and assigns.",Obtain and extend subcontractor warranties guarantees and obligations to WSDOT,For,Handover,Unspecified,Closeout/Final Records,Warranties & Certifications,Design-Builder,Warranties must be in writing and enforceable by WSDOT; covers design materials plants workmanship equipment tools and supplies from all subcontractors; general warranty period is one year after Physical Completion per Section 1-05.16(2); found via handover keyword: warranty,,Not Started,,,JV,
001-008,General Provisions (RFP Chapter 1),1-07 Legal Relations and Responsibilities to the Public,1-07.9(3).1.4,Reporting,"The Design-Builder shall complete and submit a Statement of Apprentice/Journeyman Participation through the Apprenticeship Utilization Reporting Application on a monthly basis. The report shall be submitted to WSDOT by the last working day of the subsequent month, until the Physical Completion Date.",Submit monthly apprenticeship participation reports,Until,Physical Completion,Until Physical Completion,Closeout/Final Records,Reports,Design-Builder,"Monthly reporting obligation; data must be cumulative and consolidated including all Subcontractors; found via milestone trigger: ""until Physical Completion Date""",,In Progress,,,DH,
001-009,General Provisions (RFP Chapter 1),1-07 Legal Relations and Responsibilities to the Public,1-07.9(5),Required Documents,"A copy of an approved ""Affidavit of Prevailing Wages Paid"", State L&I's form number F700-007-000. WSDOT will not grant Completion until all approved Affidavit of Wages paid for the Design-Builder and all Subcontractors have been received by the WSDOT Engineer.",Submit approved Affidavit of Prevailing Wages Paid for Design-Builder and all Subcontractors,Prior to,Completion,Prior to Completion,Administrative & Financial,Affidavits/Legal Documents,Design-Builder,WSDOT will not grant Completion until received; forms must be approved by State L&I; required for Design-Builder and all Subcontractors; WSDOT will not release retained funds until submitted,,Not Started,,,DH,
001-010,General Provisions (RFP Chapter 1),1-07 Legal Relations and Responsibilities to the Public,1-07.1,Laws to be Observed,"When requested by the WSDOT Engineer, the Design-Builder shall provide training to WSDOT employees working on-site for all activities covered by a safety plan. Costs for training that is provided solely to WSDOT employees will be paid to the Design-Builder in accordance with Section 1-09.4.",Provide safety training to WSDOT employees when requested,For,Handover,As needed,Training & Knowledge Transfer,Training Materials/Videos,Design-Builder,Training for activities covered by safety plans; requested by WSDOT Engineer; costs paid separately per Section 1-09.4; found via handover keyword: training,,Not Started,,,DH,
