Doc_Number,Document_Name,Full_Name,Category,Document_Type,Contract_Section,Review_Status,Notes,Files_Count,Representative_File,File_Path
1,General Provisions (RFP Chapter 1),,,Standard,4. General Provisions (RFP Chapter 1),Reviewed,Conformed through CO 165 (June 2024),1,Chapter 1.docx,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Chapter 1.docx
2,Technical Requirements (RFP Chapter 2),,,Standard,6. Technical Requirements (RFP Chapter 2),Reviewed,Conformed through CO 165 (June 2024),1,Chapter Two.docx,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Chapter Two.docx
3,Design-Build Contract,,,Standard,2. Design-Build Contract (Contract Form),Reviewed,Specific requirements for completion and closeout are stated in other documents. This agreement just references those other contract docs. One requirement pulled for betterments but it is listed under document 007. ,1,Executed Contract Form.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Design-Build Contract/Executed Contract Form.pdf
4,Community Workforce Agreement,,,Standard,5. Community Workforce Agreement (CWA),Not Started,Located in Appendix Z1,0,,
5,Design-Builder's Proposal (3 volumes),,,Standard,8. Design-Builder's Proposal Documents,Not Started,Graham winning proposal,3,VOLUME 2 OF 3 APPENDICES A B C GRAHAM SR 520 Montlake to Lake Washington IC and Bridge Replacement.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Design-Builder's Proposal/PDF DB Proposal/VOLUME 2 OF 3 APPENDICES A B C GRAHAM SR 520 Montlake to Lake Washington IC and Bridge Replacement.pdf
6,Appendix A1 (Appendices List),,,Standard,3. WSDOT-Identified Betterments (Exhibit B),Not Started,13-page reference list (592 appendices),0,,
7,WSDOT Identified Betterments (Exhibit B),,,Standard,8. Design-Builder's Proposal Documents,In progress,007-001 found in Design Build Contract (003),0,,
51,Appendices List,Appendices List,A - Project Files,Appendix,7. RFP Appendices (Contract Documents),Not Started,,7,Aerial Photo 1.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A - Project Files/Appendix A3/Aerial Photo 1.pdf
52,Electronic Files,Electronic Files,A - Project Files,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,XL5097 Master CAD File Log A2 AD10.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A - Project Files/Appendix A2/XL5097 Master CAD File Log A2 AD10.pdf
53,Photos,Photos,A - Project Files,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,A3 Cover Sheet.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A - Project Files/Appendix A3/A3 Cover Sheet.pdf
54,SR520 Differential Level Report,SR520 Differential Level Report,A - Project Files,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,Appendix A4 Cover Sheet.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A - Project Files/Appendix A4/Appendix A4 Cover Sheet.pdf
55,SR520 GPS Control Network,SR520 GPS Control Network,A - Project Files,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,Appendix A4 Cover Sheet.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A - Project Files/Appendix A4/Appendix A4 Cover Sheet.pdf
56,Evergreen Point Fountains,Evergreen Point Bridge West Approach Fountains,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,30,A-B2A.6 Cover_Sheet.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.6/A-B2A.6 Cover_Sheet.pdf
57,FB&L As-Built Plans Volume 01,Floating Bridge and Landings As-Built Plans Volume 01,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,Appendix A-B2.A.1.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.1/Appendix A-B2.A.1.pdf
58,FB&L As-Built Plans Volume 02,Floating Bridge and Landings As-Built Plans Volume 02,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,Appendix A-B2.A.2.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.2/Appendix A-B2.A.2.pdf
59,FB&L As-Built Plans Volume 03,Floating Bridge and Landings As-Built Plans Volume 03,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,A-B2.A.3 Cover Sheet.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.3/A-B2.A.3 Cover Sheet.pdf
60,FB&L As-Built Plans Volume 04,Floating Bridge and Landings As-Built Plans Volume 04,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,A-B2.A.4 Cover Sheet.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.4/A-B2.A.4 Cover Sheet.pdf
61,FB&L As-Built Plans Volume 05,Floating Bridge and Landings As-Built Plans Volume 05,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,A-B2.A.5 Cover Sheet.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.5/A-B2.A.5 Cover Sheet.pdf
62,FB&L As-Built Plans Volume 06,Floating Bridge and Landings As-Built Plans Volume 06,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,Appendix A-B2.A.6.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.6/Appendix A-B2.A.6.pdf
63,FB&L As-Built Plans Volume 06a,Floating Bridge and Landings As-Built Plans Volume 06a,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,Appendix A-B2.A.7.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.7/Appendix A-B2.A.7.pdf
64,FB&L As-Built Plans Volume 06b,Floating Bridge and Landings As-Built Plans Volume 06b,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,A-B2.A.8 Cover Sheet.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.8/A-B2.A.8 Cover Sheet.pdf
