Category,Appendix_Number,Subfolder,Filename,File_Type,Size_MB,Modified_Date,Full_Path
A - Project Files,A,,Appendix A Cover Sheet.pdf,.PDF,0.08,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A - Project Files/Appendix A Cover Sheet.pdf
A - Project Files,A4,Appendix A4,Appendix A4 Cover Sheet.pdf,.PDF,0.32,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A - Project Files/Appendix A4/Appendix A4 Cover Sheet.pdf
A - Project Files,A3,Appendix A3,A3 Cover Sheet.pdf,.PDF,0.16,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A - Project Files/Appendix A3/A3 Cover Sheet.pdf
A - Project Files,A3,Appendix A3,Aerial Photo 1.pdf,.PDF,24.47,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A - Project Files/Appendix A3/Aerial Photo 1.pdf
A - Project Files,A3,Appendix A3,Aerial Photo 2.pdf,.PDF,23.89,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A - Project Files/Appendix A3/Aerial Photo 2.pdf
A - Project Files,A3,Appendix A3,Aerial Photo 3.pdf,.PDF,15.88,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A - Project Files/Appendix A3/Aerial Photo 3.pdf
A - Project Files,A3,Appendix A3,Aerial Photo 4.pdf,.PDF,15.72,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A - Project Files/Appendix A3/Aerial Photo 4.pdf
A - Project Files,A3,Appendix A3,Aerial Photo 5.pdf,.PDF,10.85,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A - Project Files/Appendix A3/Aerial Photo 5.pdf
A - Project Files,A3,Appendix A3,Aerial Photo 6.pdf,.PDF,12.20,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A - Project Files/Appendix A3/Aerial Photo 6.pdf
A - Project Files,A1,Appendix A1,Appendix A1.pdf,.PDF,0.53,2022-10-05,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A - Project Files/Appendix A1/Appendix A1.pdf
A-B - As-Built Plans and Construction,A,,Appendix A-B Cover Sheet.pdf,.PDF,0.08,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B Cover Sheet.pdf
A-B - As-Built Plans and Construction,A,Appendix A-B3,A-B3 Cover Sheet.pdf,.PDF,0.11,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B3/A-B3 Cover Sheet.pdf
