Doc_Number,Document_Name,Contract_Section,Category,Review_Status,Notes,Filename,Appendix_Number,Priority,Document_Type,File_Type,Size_MB,Modified_Date,Full_Path
865,166_Landscape Modifications (Executed),1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,Manually reviewed for closeout requirements.,C9015 CO 166 Multiple Issue Reso No. 5-2024 - signed.pdf,CO 166,CRITICAL,Change Orders,.PDF,8.24,2024-10-14,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 151-175/166_Landscape Modifications (Executed)/Executed CO (Final Docs)/C9015 CO 166 Multiple Issue Reso No. 5-2024 - signed.pdf
866,167_Underlid Luminance Test Sce (Executed),1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,Manually reviewed for closeout requirements.,C9015 CO 167 UL Luminance Test Scenarios - signed.pdf,CO 167,CRITICAL,Change Orders,.PDF,0.26,2024-07-01,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 151-175/167_Underlid Luminance Test Sce (Executed)/Executed CO (Final Docs)/C9015 CO 167 UL Luminance Test Scenarios - signed.pdf
867,168_SDOT Cabinet (Executed),1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,Manually reviewed for closeout requirements.,C9015 CO 168 SDOT Cabinet - signed.pdf,CO 168,CRITICAL,Change Orders,.PDF,0.27,2024-07-01,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 151-175/168_SDOT Cabinet (Executed)/Executed CO (Final Docs)/C9015 CO 168 SDOT Cabinet - signed.pdf
868,169_Multiple Issue Reso No. 5-2024 (Executed),1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,Manually reviewed for closeout requirements.,C9015 CO 169 Multiple Issue Reso No. 5-2024 - signed.pdf,CO 169,CRITICAL,Change Orders,.PDF,4.41,2024-09-03,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 151-175/169_Multiple Issue Reso No. 5-2024 (Executed)/Executed CO (Final Docs)/C9015 CO 169 Multiple Issue Reso No. 5-2024 - signed.pdf
869,170_Multiple Issue Reso No. 6-2024 (Executed),1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,Manually reviewed for closeout requirements.,C9015 CO 170 Multiple Issue Reso 6-2024 - signed.pdf,CO 170,CRITICAL,Change Orders,.PDF,0.28,2024-08-12,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 151-175/170_Multiple Issue Reso No. 6-2024 (Executed)/Executed CO (Final Docs)/C9015 CO 170 Multiple Issue Reso 6-2024 - signed.pdf
870,171_Multiple Issue Reso No. 7-2024,1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,Manually reviewed for closeout requirements.,C9015 CO 171 Multiple Issue Reso No. 7-2024 - signed.pdf,CO 171,CRITICAL,Change Orders,.PDF,0.26,2024-07-22,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 151-175/171_Multiple Issue Reso No. 7-2024/Executed CO (Final Docs)/C9015 CO 171 Multiple Issue Reso No. 7-2024 - signed.pdf
871,172_WABS ATM VMS Extended Warranty (Executed),1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,Manually reviewed for closeout requirements.,C9015 CO 172 WABS ATM VMS Extended Warranty - signed.pdf,CO 172,CRITICAL,Change Orders,.PDF,0.27,2024-07-22,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 151-175/172_WABS ATM VMS Extended Warranty (Executed)/Executed CO (Final Docs)/C9015 CO 172 WABS ATM VMS Extended Warranty - signed.pdf
872,173_Elec Signs Anti-Graffiti Executed),1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,Manually reviewed for closeout requirements.,C9015 CO 173 Elec Signs Anti-Graffiti - signed.pdf,CO 173,CRITICAL,Change Orders,.PDF,0.27,2024-08-05,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 151-175/173_Elec Signs Anti-Graffiti Executed)/Executed CO (Final Docs)/C9015 CO 173 Elec Signs Anti-Graffiti - signed.pdf
873,174_Transit Canopy Paint (Executed),1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,Manually reviewed for closeout requirements.,C9015 CO 174 Transit Canopy Paint - signed.pdf,CO 174,CRITICAL,Change Orders,.PDF,0.27,2024-07-22,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 151-175/174_Transit Canopy Paint (Executed)/Executed CO (Final Docs)/C9015 CO 174 Transit Canopy Paint - signed.pdf
874,175_Topsoil Gradation (Executed),1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,Manually reviewed for closeout requirements.,C9015 CO 175 Topsoil Gradation - signed.pdf,CO 175,CRITICAL,Change Orders,.PDF,1.16,2024-08-12,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 151-175/175_Topsoil Gradation (Executed)/Executed CO (Final Docs)/C9015 CO 175 Topsoil Gradation - signed.pdf
