Doc_Number,Document_Name,Category,Document_Type,Status,Notes
001,General Provisions (RFP Chapter 1),,Standard,Complete,Conformed through CO 165 (June 2024)
002,Technical Requirements (RFP Chapter 2),,Standard,Complete,Conformed through CO 165 (June 2024)
003,Design-Build Contract,,Standard,Complete,Executed contract form
004,Community Workforce Agreement,,Standard,Missing,Located in Appendix Z1
005,Design-Builder's Proposal (3 volumes),,Standard,Complete,Graham winning proposal
006,Appendix A1 (Appendices List),,Standard,Missing,13-page reference list (592 appendices)
007,WSDOT Identified Betterments (Exhibit B),,Standard,Missing,TO BE IDENTIFIED LATER
051,Appendices List,A - Project Files,Appendix,Complete,
052,Electronic Files,A - Project Files,Appendix,Missing,
053,Photos,A - Project Files,Appendix,Missing,
054,SR520 Differential Level Report,A - Project Files,Appendix,Missing,
055,SR520 GPS Control Network,A - Project Files,Appendix,Missing,
056,Evergreen Point Fountains,A-B - As-Built Plans and Construction,Appendix,Complete,
057,FB&L As-Built Plans Volume 01,A-B - As-Built Plans and Construction,Appendix,Missing,
058,FB&L As-Built Plans Volume 02,A-B - As-Built Plans and Construction,Appendix,Missing,
059,FB&L As-Built Plans Volume 03,A-B - As-Built Plans and Construction,Appendix,Missing,
060,FB&L As-Built Plans Volume 04,A-B - As-Built Plans and Construction,Appendix,Missing,
061,FB&L As-Built Plans Volume 05,A-B - As-Built Plans and Construction,Appendix,Missing,
062,FB&L As-Built Plans Volume 06,A-B - As-Built Plans and Construction,Appendix,Missing,
063,FB&L As-Built Plans Volume 06a,A-B - As-Built Plans and Construction,Appendix,Missing,
064,FB&L As-Built Plans Volume 06b,A-B - As-Built Plans and Construction,Appendix,Missing,
065,FB&L As-Built Plans Volume 07,A-B - As-Built Plans and Construction,Appendix,Missing,
066,FB&L As-Built Plans Volume 07a,A-B - As-Built Plans and Construction,Appendix,Missing,
067,FB&L As-Built Plans Volume 08,A-B - As-Built Plans and Construction,Appendix,Missing,
068,FB&L As-Built Plans Volume 09,A-B - As-Built Plans and Construction,Appendix,Missing,
069,FB&L As-Built Plans Volume 10,A-B - As-Built Plans and Construction,Appendix,Missing,
070,FB&L As-Built Plans Volume 11,A-B - As-Built Plans and Construction,Appendix,Missing,
071,FB&L As-Built Plans Volume 12,A-B - As-Built Plans and Construction,Appendix,Missing,
072,FB&L As-Built Plans Volume 13,A-B - As-Built Plans and Construction,Appendix,Missing,
073,FB&L As-Built Plans Volume 14a,A-B - As-Built Plans and Construction,Appendix,Missing,
