Doc_Number,Document_Name,Category,Status,Review_Status,Files_Count,Representative_File
1,General Provisions (RFP Chapter 1),,Complete,Reviewed,1,Chapter 1.docx
2,Technical Requirements (RFP Chapter 2),,Complete,Reviewed,1,Chapter Two.docx
700,001_WABN Plant Establishment (PCO 015) (Executed),,Complete,Reviewed,1,CO 1 - 001_WABN Plant Establishment (PCO 015) (Executed)
701,002_Apprentice Util Plan Submittal (PCO 032) (Executed),,Complete,Reviewed,1,CO 2 - 002_Apprentice Util Plan Submittal (PCO 032) (Executed)
702,003_Foster Island Irrg Water Supp (PCO 028) (Executed),,Complete,Reviewed,1,CO 3 - 003_Foster Island Irrg Water Supp (PCO 028) (Executed)
703,"004_Amendment to Appendix (PCO 018, 019, 020, 021, 022, 025, 026, 040) (Executed)",,Complete,Reviewed,1,"CO 4 - 004_Amendment to Appendix (PCO 018, 019, 020, 021, 022, 025, 026, 040) (Executed)"
704,005_RSUP Cover Plates (PCO 001) (Executed),,Complete,Reviewed,1,CO 5 - 005_RSUP Cover Plates (PCO 001) (Executed)
705,006_Tax Rule 170-171 Graham Bid Proposal Error (PCO 010) (Executed),,Complete,Reviewed,1,CO 6 - 006_Tax Rule 170-171 Graham Bid Proposal Error (PCO 010) (Executed)
706,007_Adjust Contract Dates (PCO 067) (Executed),,Complete,Reviewed,1,CO 7 - 007_Adjust Contract Dates (PCO 067) (Executed)
707,008_CWA Amendment 1 (PCO 063) (Executed),,Complete,Reviewed,1,CO 8 - 008_CWA Amendment 1 (PCO 063) (Executed)
708,"009_MOT Signs and Safety Drums (PCO 069, 070) (Executed)",,Complete,Reviewed,1,"CO 9 - 009_MOT Signs and Safety Drums (PCO 069, 070) (Executed)"
709,010_WABS Girder Line (PCO 038) (Executed),,Complete,Reviewed,1,CO 10 - 010_WABS Girder Line (PCO 038) (Executed)
710,011_Incentive Award Program Change (PCO 078) (Executed),,Complete,Reviewed,1,CO 11 - 011_Incentive Award Program Change (PCO 078) (Executed)
711,012_Crosswalks (PCO 084) (Executed),,Complete,Reviewed,1,CO 12 - 012_Crosswalks (PCO 084) (Executed)
712,013_ML Fire Supp & Ltg Mods (Nine PCO's) (Executed),,Complete,Reviewed,1,C9015 CO 013 ML Fire Suppression & Ltg Mods - signed.pdf
713,014_TS Controller Submittal Sheet (PCO 072) (Executed),,Complete,Reviewed,1,CO 14 - 014_TS Controller Submittal Sheet (PCO 072) (Executed)
714,"015_Added Engineering PDW 1 (PCO 007, 039, 087) (Executed)",,Complete,Reviewed,1,"CO 15 - 015_Added Engineering PDW 1 (PCO 007, 039, 087) (Executed)"
715,016_Stormwater Sampling (PCO 068) (Executed),,Complete,Reviewed,1,CO 16 - 016_Stormwater Sampling (PCO 068) (Executed)
716,"017_Environmental Update 01 (PCO 027, 030, 073, 086) (Executed)",,Complete,Reviewed,1,"CO 17 - 017_Environmental Update 01 (PCO 027, 030, 073, 086) (Executed)"
717,018_Field Office Water and Sewer Connection (PCO 066) (Executed),,Complete,Reviewed,1,CO 18 - 018_Field Office Water and Sewer Connection (PCO 066) (Executed)
718,019_Storefront (PCO 056) (Executed),,Complete,Reviewed,1,CO 19 - 019_Storefront (PCO 056) (Executed)
719,"020_CO Located Office Change (PCO 005, 057) (Executed)",,Complete,Reviewed,1,"CO 20 - 020_CO Located Office Change (PCO 005, 057) (Executed)"
720,021_CCMP Extension Date (PCO 029) (Executed),,Complete,Reviewed,1,CO 21 - 021_CCMP Extension Date (PCO 029) (Executed)
721,022_Temporary Sidewalk Reduction (PCO 064) (Executed),,Complete,Reviewed,1,C9015 CO 022 Temporary Sidewalk Reduction - signed.pdf
722,023_Lake Wa Blvd Closure Hrs (PCO 052) (Executed),,Complete,Reviewed,1,CO 23 - 023_Lake Wa Blvd Closure Hrs (PCO 052) (Executed)
723,024_WABS Time Histories (PCO 082) (Executed),,Complete,Reviewed,1,CO 24 - 024_WABS Time Histories (PCO 082) (Executed)
724,025_WABS Columns (PCO 093) (Executed),,Complete,Reviewed,1,CO 25 - 025_WABS Columns (PCO 093) (Executed)
725,026_Hard Copies and Flash Drives (PCO 017) (Executed),,Complete,Reviewed,1,C9015 CO 026 Hard Copies and Flash Drives - signed.pdf
726,027_Multiple Issue Resolution No. 1 (11 PCOs - See Log) (Executed),,Complete,Reviewed,1,C9015 CO 027 Multiple Issue Resolution No. 1 - signed.pdf
727,028_Digital Signatures (PCO 034) (Executed),,Complete,Reviewed,1,C9015 CO 028 Digital Signatures - signed.pdf
728,029_Adjust Insurance Language Chapter 1 (PCO 004) (Executed),,Complete,Reviewed,1,CO 29 - 029_Adjust Insurance Language Chapter 1 (PCO 004) (Executed)
729,030_Baebler and Giordano TCEs (PCO 096) (Executed),,Complete,Reviewed,1,C9015 CO 030 Baebler and Giordano TCEs - signed.pdf
730,031_Cell Tower ITS Conflict (PCO 091) (Executed),,Complete,Reviewed,1,CO 31 - 031_Cell Tower ITS Conflict (PCO 091) (Executed)
731,032_Sign Height (PCO 111) (Executed),,Complete,Reviewed,1,CO 32 - 032_Sign Height (PCO 111) (Executed)
732,033_DXEI Ramp HOV Lane Closure (PCO 105) (Executed),,Complete,Reviewed,1,CO 33 - 033_DXEI Ramp HOV Lane Closure (PCO 105) (Executed)
733,034_Force Account Markup Change (PCO 112) (Executed),,Complete,Reviewed,1,CO 34 - 034_Force Account Markup Change (PCO 112) (Executed)
734,035_Electrical Conduits on Girders (PCO 117) (Executed),,Complete,Reviewed,1,CO 35 - 035_Electrical Conduits on Girders (PCO 117) (Executed)
735,036_COS Interconnect on Montlake (PCO 042) (Executed),,Complete,Reviewed,1,C9015 CO 036 COS Interconnect on Montlake - signed.pdf
736,037_North Street Closure (PCO 104) (Executed),,Complete,Reviewed,1,CO 37 - 037_North Street Closure (PCO 104) (Executed)
