tracker_idx,doc_number,tracker_file,tracker_category,req_name,req_category,confidence
0,865,C9015 CO 166 Multiple Issue Reso No. 5-2024 - signed.pdf,1 - Change Orders,166_Landscape Modifications (Executed),,15.0
1,866,C9015 CO 167 UL Luminance Test Scenarios - signed.pdf,1 - Change Orders,167_Underlid Luminance Test Sce (Executed),,15.0
2,867,C9015 CO 168 SDOT Cabinet - signed.pdf,1 - Change Orders,168_SDOT Cabinet (Executed),,15.0
3,868,C9015 CO 169 Multiple Issue Reso No. 5-2024 - signed.pdf,1 - Change Orders,169_Multiple Issue Reso No. 5-2024 (Executed),,15.0
4,869,C9015 CO 170 Multiple Issue Reso 6-2024 - signed.pdf,1 - Change Orders,170_Multiple Issue Reso No. 6-2024 (Executed),,15.0
5,870,C9015 CO 171 Multiple Issue Reso No. 7-2024 - signed.pdf,1 - Change Orders,171_Multiple Issue Reso No. 7-2024,,15.0
6,871,C9015 CO 172 WABS ATM VMS Extended Warranty - signed.pdf,1 - Change Orders,172_WABS ATM VMS Extended Warranty (Executed),,15.0
7,872,C9015 CO 173 Elec Signs Anti-Graffiti - signed.pdf,1 - Change Orders,173_Elec Signs Anti-Graffiti Executed),,15.0
8,873,C9015 CO 174 Transit Canopy Paint - signed.pdf,1 - Change Orders,174_Transit Canopy Paint (Executed),,15.0
9,874,C9015 CO 175 Topsoil Gradation - signed.pdf,1 - Change Orders,175_Topsoil Gradation (Executed),,15.0
10,875,C9015 CO 176 PLB Girder Paint Modification - signed.pdf,1 - Change Orders,176_PLB Girder Paint Modification (Executed),,15.0
11,876,C9015 CO 177 City Street Long Term Closures - signed.pdf,1 - Change Orders,177_City Street Long Term Closure (Executed),,15.0
12,877,C9015 CO 178 Multiple Issue Reso No. 8-2024 - signed.pdf,1 - Change Orders,178_Multiple Issue Reso No. 8-2024,,15.0
13,878,C9015 CO 179 Transit Canopy Paint Spec - signed.pdf,1 - Change Orders,179_Transit Canopy Paint Spec (Executed),,15.0
14,879,C9015 CO 180 Multiple Issue Reso No. 9-2024 - signed.pdf,1 - Change Orders,180_Multiple Issue Reso No. 9-2024,,15.0
15,881,C9015 CO 182 Sign Bridge 4 Modifications - signed.pdf,1 - Change Orders,182_Sign Bridge No. 4 Modifications,,15.0
16,882,C9015 CO 183 VP Candidate Motorcade - signed.pdf,1 - Change Orders,183_VP Candidate Motorcade,,15.0
17,883,C9015 CO 184 SRP Design Modifications - signed.pdf,1 - Change Orders,184_SRP Design Modifications,,15.0
18,884,C9015 CO 185 Multiple Issue Reso No. 10-2025 - signed.pdf,1 - Change Orders,185_Multiple Issue Reso No. 10-2025,,15.0
19,885,C9015 CO 186 Multiple Issue Reso No. 11-2025 - signed.pdf,1 - Change Orders,186_Multiple Issue Reso No. 11-2025,,15.0
20,888,C9015 CO 189 Physical Completion Added CD - signed.pdf,1 - Change Orders,189_Physical Completion Added CD,,15.0
21,880,C9015 CO181 POTUS Motorcade - signed.pdf,1 - Change Orders,181_POTUS Motorcade,,15.0
22,886,CO 187 - 187_SRP Over Ex. Swr. Mod - Const,1 - Change Orders,187_SRP Over Ex. Swr. Mod - Const,,15.0
