doc_number,doc_name,category,notes
004,Community Workforce Agreement,,Located in Appendix Z1
006,Appendix A1 (Appendices List),,13-page reference list (592 appendices)
007,WSDOT Identified Betterments (Exhibit B),,TO BE IDENTIFIED LATER
052,Electronic Files,A - Project Files,
053,Photos,A - Project Files,
054,SR520 Differential Level Report,A - Project Files,
055,SR520 GPS Control Network,A - Project Files,
057,FB&L As-Built Plans Volume 01,A-B - As-Built Plans and Construction,
058,FB&L As-Built Plans Volume 02,A-B - As-Built Plans and Construction,
059,FB&L As-Built Plans Volume 03,A-B - As-Built Plans and Construction,
060,FB&L As-Built Plans Volume 04,A-B - As-Built Plans and Construction,
061,FB&L As-Built Plans Volume 05,A-B - As-Built Plans and Construction,
062,FB&L As-Built Plans Volume 06,A-B - As-Built Plans and Construction,
063,FB&L As-Built Plans Volume 06a,A-B - As-Built Plans and Construction,
064,FB&L As-Built Plans Volume 06b,A-B - As-Built Plans and Construction,
065,FB&L As-Built Plans Volume 07,A-B - As-Built Plans and Construction,
066,FB&L As-Built Plans Volume 07a,A-B - As-Built Plans and Construction,
067,FB&L As-Built Plans Volume 08,A-B - As-Built Plans and Construction,
068,FB&L As-Built Plans Volume 09,A-B - As-Built Plans and Construction,
069,FB&L As-Built Plans Volume 10,A-B - As-Built Plans and Construction,
070,FB&L As-Built Plans Volume 11,A-B - As-Built Plans and Construction,
071,FB&L As-Built Plans Volume 12,A-B - As-Built Plans and Construction,
072,FB&L As-Built Plans Volume 13,A-B - As-Built Plans and Construction,
073,FB&L As-Built Plans Volume 14a,A-B - As-Built Plans and Construction,
074,FB&L As-Built Plans Volume 14b,A-B - As-Built Plans and Construction,
075,FB&L As-Built Plans Volume 14c,A-B - As-Built Plans and Construction,
076,FB&L As-Built Plans Volume 14d,A-B - As-Built Plans and Construction,
077,FB&L As-Built Plans Volume 15,A-B - As-Built Plans and Construction,
078,FB&L As-Built Plans Volume 15a,A-B - As-Built Plans and Construction,
079,FB&L As-Built Plans Volume 16,A-B - As-Built Plans and Construction,
080,FB&L As-Built Plans Volume 17,A-B - As-Built Plans and Construction,
081,FB&L As-Built Plans Volume 18,A-B - As-Built Plans and Construction,
082,FB&L As-Built Plans Volume 19,A-B - As-Built Plans and Construction,
083,Montlake Blvd & 24th Ave Bridges,A-B - As-Built Plans and Construction,
084,Montlake Property As-Builts,A-B - As-Built Plans and Construction,
085,SR 520 Ramps Over Arboretum,A-B - As-Built Plans and Construction,
086,Sound Transit Horizontal Vertical Control,A-B - As-Built Plans and Construction,
087,Sound Transit ROW Plans,A-B - As-Built Plans and Construction,
088,Sound Transit Tunnel Plan Profile,A-B - As-Built Plans and Construction,
089,U220 Basis of Design Report,A-B - As-Built Plans and Construction,
090,U220 Conformed Specifications,A-B - As-Built Plans and Construction,
091,U220 Final Calcs Tunnels,A-B - As-Built Plans and Construction,
092,U220 GBR IFC,A-B - As-Built Plans and Construction,
093,U220 Precast Segmental Tunnel Lining Design,A-B - As-Built Plans and Construction,
094,U220 TBM Tunnels Final As-Builts,A-B - As-Built Plans and Construction,
095,U220 TBM Tunnels IFC Part 1,A-B - As-Built Plans and Construction,
096,U220 TBM Tunnels IFC Part 2,A-B - As-Built Plans and Construction,
097,Union Bay Bridge,A-B - As-Built Plans and Construction,
098,WABN As-Built Plans Volume 01,A-B - As-Built Plans and Construction,
099,WABN As-Built Plans Volume 02,A-B - As-Built Plans and Construction,
100,WABN As-Built Plans Volume 03,A-B - As-Built Plans and Construction,
101,WABN As-Built Plans Volume 04,A-B - As-Built Plans and Construction,
102,WABN As-Built Plans Volume 05,A-B - As-Built Plans and Construction,
103,WABN As-Built Plans Volume 06,A-B - As-Built Plans and Construction,
104,WABN As-Built Plans Volume 07,A-B - As-Built Plans and Construction,
105,WABN As-Built Plans Volume 08,A-B - As-Built Plans and Construction,
106,WABN As-Built Plans Volume 09,A-B - As-Built Plans and Construction,
107,WABN As-Built Plans Volume 10,A-B - As-Built Plans and Construction,
108,WABN Calculations,A-B - As-Built Plans and Construction,
109,WABN Construction Contract Plans,A-B - As-Built Plans and Construction,
110,WABN Construction Contract Provisions,A-B - As-Built Plans and Construction,
111,WABN DCRs & IDRs Part 1,A-B - As-Built Plans and Construction,
112,WABN DCRs & IDRs Part 2,A-B - As-Built Plans and Construction,
115,WABN RFI Log,A-B - As-Built Plans and Construction,
116,WABN RFI Questions & Answers,A-B - As-Built Plans and Construction,
117,WCB As-Built,A-B - As-Built Plans and Construction,
118,WCB Disc Bearings,A-B - As-Built Plans and Construction,
119,West Approach Bridge,A-B - As-Built Plans and Construction,
121,General Special Provisions,B - Specifications,
122,Instructions for GSP,B - Specifications,
123,King County Metro Electrical Specification,B - Specifications,
124,NWR Electrical GSP Instructions,B - Specifications,
125,NWR Electrical General Special Provisions,B - Specifications,
126,NWR ITS GSP,B - Specifications,
127,NWR ITS GSP Instructions,B - Specifications,
128,NWR Landscape GSP,B - Specifications,
129,NWR Landscape GSP Instructions,B - Specifications,
130,NWR Miscellaneous GSP,B - Specifications,
131,NWR Miscellaneous GSP Instructions,B - Specifications,
132,Seattle Standard Specifications 2017,B - Specifications,
133,Standard Specifications (M 41-10),B - Specifications,
134,Steel Escalation Cost Adjustment,B - Specifications,
137,Bridge Deck Protection System,D - Manuals,
138,Bridge Design Manual,D - Manuals,
139,Bridge Design Minimum Requirements,D - Manuals,
140,Bridge Inspection Manual,D - Manuals,
141,Bridge Paving Projects,D - Manuals,
142,Communications Manual,D - Manuals,
143,Construction Manual,D - Manuals,
144,DOE Sewage Works Design Criteria,D - Manuals,
145,DOH Water System Manual,D - Manuals,
146,Design Manual,D - Manuals,
147,ET 31 ET Plus Guardrail Terminal Memo,D - Manuals,
148,Electronic Engineering Data Standards,D - Manuals,
149,Environmental Manual,D - Manuals,
150,FHWA Flexibility In Highway Design,D - Manuals,
151,FHWA MUTCD,D - Manuals,
152,FHWA Traffic Control Systems Handbook,D - Manuals,
153,Geotechnical Design Manual,D - Manuals,
154,Highway Runoff Manual,D - Manuals,
155,Highway Surveying Manual,D - Manuals,
156,Hydraulics Manual,D - Manuals,
157,King County Road Design Standards,D - Manuals,
158,Local Agency Guidelines,D - Manuals,
159,Maintenance Manual,D - Manuals,
160,Materials Manual,D - Manuals,
161,NWR Area 5 Vegetation Management Plan,D - Manuals,
162,NWR HOV Design Guide,D - Manuals,
163,Organizational Conflicts of Interest Manual,D - Manuals,
164,Pavement Surface Condition Rating Manual,D - Manuals,
165,Plans Preparation Manual,D - Manuals,
166,Positive Moment Strand Extension,D - Manuals,
167,Pre-Bent Stirrups Prestressed Girders,D - Manuals,
168,Right of Way Manual,D - Manuals,
169,Roadside Classification Plan,D - Manuals,
170,Roadside Manual,D - Manuals,
171,SDOT ADA Curb Ramp Assessment Policy,D - Manuals,
172,SDOT APS Installation Requirements,D - Manuals,
173,SDOT Companion Ramp Requirements,D - Manuals,
174,SDOT Curb Ramp Construction Tolerances,D - Manuals,
175,SDOT Curb Ramp Flares-Wings Policy,D - Manuals,
176,SDOT Curb Ramps T-Intersections,D - Manuals,
177,SDOT MEF Documentation Curb Ramp,D - Manuals,
178,SPU Design Standards,D - Manuals,
179,Scour Requirements,D - Manuals,
180,Seattle CAD Manual,D - Manuals,
181,Seattle City Light Stock Catalog,D - Manuals,
182,Seattle ROW Improvements Manual,D - Manuals,
183,Seattle ROWORR,D - Manuals,
184,Seattle Standard Plans 2017,D - Manuals,
185,Seattle Traffic Control Manual,D - Manuals,
186,Sign Fabrication Manual,D - Manuals,
187,Standard Plans,D - Manuals,
188,Temporary Erosion Sediment Control Manual,D - Manuals,
189,Traffic Manual,D - Manuals,
190,Utilities Accommodation Policy,D - Manuals,
191,Utilities Manual,D - Manuals,
192,WA MUTCD Modifications,D - Manuals,
193,Wide Flange Deck Bulb Tee Girders UHPC,D - Manuals,
194,Work Zone Traffic Control Guidelines,D - Manuals,
196,Administrative Order Amendment,E - Environmental,
197,Analytical Data Lab 1805-191B,E - Environmental,
198,Aquatic Wetland Mitigation Addendum 5,E - Environmental,
199,Biological Assessment,E - Environmental,
200,Bridge 513-10 Good Faith Survey,E - Environmental,
201,Bridge 520 3 and 3E-N Survey,E - Environmental,
202,Bridge 520 6A and 6N-E Survey,E - Environmental,
203,Bridge 520-5 and 5A Survey,E - Environmental,
204,Bridges 520 6 7.5N 7.5 7.7S Survey,E - Environmental,
205,Bubble Curtain Plans,E - Environmental,
206,Community Construction Management Plan,E - Environmental,
207,Construction Noise Variance Decision,E - Environmental,
208,DOE Petroleum Remediation Guidance,E - Environmental,
209,Environmental Constraints Plan,E - Environmental,
210,Environmental Project Description,E - Environmental,
211,FB&L Demo Test Results,E - Environmental,
212,Final Aquatic Mitigation Plan,E - Environmental,
213,Final Environmental Impact Statement,E - Environmental,
214,Final Wetland Mitigation Report,E - Environmental,
215,Fish Exclusion Protocols Standards,E - Environmental,
216,Foster Island Treatment Plan,E - Environmental,
217,Hazardous Materials Baseline Report,E - Environmental,
218,Hazardous Materials Report Addendum,E - Environmental,
219,Historic Properties Archaeologically Sensitive Areas,E - Environmental,
220,MTCA Exceedances WABN Geotechnical,E - Environmental,
221,Montlake Phase Noise Variance Application,E - Environmental,
222,NEPA FB&L Reevaluation,E - Environmental,
223,NEPA-SEPA Additional Moorage Buoys,E - Environmental,
224,NEPA-SEPA Channel Marker Repair,E - Environmental,
225,NEPA-SEPA Construction Truck Trips,E - Environmental,
226,NEPA-SEPA Eastside Haul Routes,E - Environmental,
227,NEPA-SEPA Eastside Staging Area,E - Environmental,
228,NEPA-SEPA FB&L Construction Changes,E - Environmental,
229,NEPA-SEPA FB&L Final Design Features,E - Environmental,
230,NEPA-SEPA FB&L Final Design Features,E - Environmental,
231,NEPA-SEPA Floating Bridge Demolition,E - Environmental,
232,NEPA-SEPA Geotechnical Investigation,E - Environmental,
233,NEPA-SEPA Geotechnical Investigations,E - Environmental,
234,NEPA-SEPA Kenmore Yard Reevaluation,E - Environmental,
235,NEPA-SEPA Kenmore Yard Update,E - Environmental,
236,NEPA-SEPA Kenmore Yard Update,E - Environmental,
237,NEPA-SEPA Montlake Construction Limits,E - Environmental,
238,NEPA-SEPA Montlake Market Closure,E - Environmental,
239,NEPA-SEPA PATON Buoy Strings,E - Environmental,
240,NEPA-SEPA Pontoon Repairs Coffer Cell,E - Environmental,
241,NEPA-SEPA Pontoon Repairs Vigor,E - Environmental,
242,NEPA-SEPA Pontoon Tacoma Blair Berth,E - Environmental,
243,NEPA-SEPA Pontoon Tacoma Terminal 7,E - Environmental,
244,NEPA-SEPA Rescind Stormwater Changes,E - Environmental,
245,NEPA-SEPA Section 106 Amendment,E - Environmental,
246,NEPA-SEPA Tolling Equipment,E - Environmental,
247,NEPA-SEPA Tolling Equipment Installation,E - Environmental,
248,NEPA-SEPA WABN,E - Environmental,
249,NEPA-SEPA WABN Foster Island Design,E - Environmental,
250,NEPA-SEPA WABN Foster Island Refinements,E - Environmental,
251,NEPA-SEPA WABS Montlake Lid,E - Environmental,
252,NEPA-SEPA WCB Reevaluation,E - Environmental,
253,NEPA-SEPA Westside Staging Area,E - Environmental,
254,NEPA-SEPA Wetland Mitigation Addendum,E - Environmental,
255,NPDES Construction Stormwater Permit,E - Environmental,
256,Neighborhood Traffic Management Plan,E - Environmental,
257,Noise Variance Notification Map,E - Environmental,
258,Permit Plans - Coast Guard,E - Environmental,
259,Permit Plans - Corps,E - Environmental,
260,Permit Plans - Seattle Shoreline,E - Environmental,
261,Permit Plans - WDFW Ecology,E - Environmental,
262,Phase I ESA Montlake Gas Station,E - Environmental,
263,Phase II ESA - Exterior,E - Environmental,
264,Phase II ESA East Montlake Place,E - Environmental,
265,Phase II ESA Eastbound Off-Ramp,E - Environmental,
266,Pile Driving Flow Chart,E - Environmental,
267,Record of Decision,E - Environmental,
268,Recycled Concrete Aggregate PCCP,E - Environmental,
269,SEPA FB&L Addendum,E - Environmental,
270,SEPA Public Place Authorization,E - Environmental,
271,SEPA Public Place Designation,E - Environmental,
272,Seattle Noise Variance Application Attachment,E - Environmental,
273,Seattle Olmsted Park Furniture Standards,E - Environmental,
274,Section 106 Agreement Amendment 1,E - Environmental,
275,Section 106 Programmatic Agreement,E - Environmental,
276,Sustainability Performance Relationships,E - Environmental,
277,TESC Plan Narrative Template,E - Environmental,
278,Tree Vegetation Management Protection Plan,E - Environmental,
279,Unanticipated Discovery Plan,E - Environmental,
280,WABN Construction Testing Results,E - Environmental,
281,WABN Gas Monitoring Report 5,E - Environmental,
282,WABN Landfill Gas Monitoring Logs,E - Environmental,
283,West Approach ESA Reinitiation,E - Environmental,
284,West Approach Salmonid Migration Zone,E - Environmental,
285,Wetland Aquatic Mitigation Addendum 7&4,E - Environmental,
287,Contract Bond Form,F - Forms,
288,DRB Administrative Procedures,F - Forms,
289,DRB State Member Scope,F - Forms,
